Stud Qu1 Qu2 Qu3 Qu4 Qu5
0001 052 007 100 078 034
0002 090 036 090 077 030
0003 100 045 020 090 070
0004 011 017 081 032 077
0005 020 012 045 078 034
0006 034 080 055 078 045
0007 060 100 056 078 078
0008 070 010 066 078 056
0009 034 009 077 078 020
0010 045 040 088 078 055
0011 055 050 099 078 080
0012 022 070 100 078 077
0013 089 050 091 078 060
0014 011 011 000 078 010
0015 000 098 089 078 020
0016 052 007 100 078 034
0017 090 036 090 077 030
0018 100 045 020 090 070
0019 011 017 081 032 077
0020 020 012 045 078 034
0021 034 080 055 078 045
0022 060 100 056 078 078
0023 070 010 066 078 056
0024 034 009 077 078 020
0025 045 040 088 078 055
0026 055 050 099 078 080
0027 022 070 100 078 077
0028 089 050 091 078 060
0029 011 011 000 078 010
0030 000 098 089 078 020
0031 052 007 100 078 034
0032 090 036 090 077 030
0033 100 045 020 090 070
0034 011 017 081 032 077
0035 020 012 045 078 034
0036 034 080 055 078 045
0037 060 100 056 078 078
0038 070 010 066 078 056
0039 034 009 077 078 020
0040 045 040 088 078 055
0041 055 050 099 078 080
0042 022 070 100 078 077
0043 089 050 091 078 060
0044 011 011 000 078 010
0045 000 098 089 078 020
